,State,City,M,n,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities,M_infogram_socialEquityCitiesRanking,M_nationalEquityAtlas,M_usNews_stateRankingsEquality,M_wallethub_statesRacialEquality,M_wallethub_racialIntegration,M_wisevoter_mostDiverseStates,M_bloomberg_blackWomenMetros,M_georgetown_usaIndex,M_usaNews_statesGenderEquality,M_statusWomen_bestWorstStates,M_iwpr_reproductiveRights,M_wallethub_womenEquity,M_hrc_stateEquityIndex,M_move_lgbtqFamily,M_map_equaliltyMaps,M_axios_lgbtq_equality,M_wallethub_citiesDisabilities,M_ncaj_disabilityAccess,M_usNews_equalityRankings
99,AZ,Mesa,3.5987974453130334,17,4.4620999999999995,2,4.719,4,3.5714000000000006,4,2.169218554345098,4,3.4722941176470585,3,5.205,3.7192,1.7600000000000002,6.284,5.912000000000001,4.92,,3.6239999999999997,4.8896,,0.6559999999999999,5.1160000000000005,0.8,1.5686274509803924,1.8706467663999997,4.4376,5.111,0.6,4.705882352941177
237,AZ,Peoria,3.604562151195386,17,4.4620999999999995,2,4.719,4,3.5714000000000006,4,2.169218554345098,4,3.5049607843137256,3,5.205,3.7192,1.7600000000000002,6.284,5.912000000000001,4.92,,3.6239999999999997,4.8896,,0.6559999999999999,5.1160000000000005,0.8,1.5686274509803924,1.8706467663999997,4.4376,5.2090000000000005,0.6,4.705882352941177
87,AZ,Phoenix,4.091853142795642,18,5.84,2,5.7652,5,3.5714000000000006,4,2.169218554345098,4,3.3949607843137257,3,5.6049999999999995,6.075,1.7600000000000002,6.284,5.912000000000001,4.92,9.95,3.6239999999999997,4.8896,,0.6559999999999999,5.1160000000000005,0.8,1.5686274509803924,1.8706467663999997,4.4376,4.879,0.6,4.705882352941177
231,AZ,Scottsdale,4.128353142795643,18,5.84,2,5.7652,5,3.5714000000000006,4,2.169218554345098,4,3.6139607843137256,3,5.6049999999999995,6.075,1.7600000000000002,6.284,5.912000000000001,4.92,9.95,3.6239999999999997,4.8896,,0.6559999999999999,5.1160000000000005,0.8,1.5686274509803924,1.8706467663999997,4.4376,5.536,0.6,4.705882352941177
233,AZ,Tempe,4.126519809462309,18,5.84,2,5.7652,5,3.5714000000000006,4,2.169218554345098,4,3.602960784313725,3,5.6049999999999995,6.075,1.7600000000000002,6.284,5.912000000000001,4.92,9.95,3.6239999999999997,4.8896,,0.6559999999999999,5.1160000000000005,0.8,1.5686274509803924,1.8706467663999997,4.4376,5.503,0.6,4.705882352941177
93,AZ,Tucson,4.135964253906754,18,6.0045,2,5.7652,5,3.5714000000000006,4,2.169218554345098,4,3.5499607843137255,3,5.486,6.523000000000001,1.7600000000000002,6.284,5.912000000000001,4.92,9.95,3.6239999999999997,4.8896,,0.6559999999999999,5.1160000000000005,0.8,1.5686274509803924,1.8706467663999997,4.4376,5.343999999999999,0.6,4.705882352941177
5,CA,,5.577849019607843,16,2.9392000000000005,1,4.7622,4,5.43536,5,7.35156862745098,4,5.337254901960785,2,,2.9392000000000005,2.56,5.558400000000001,5.3544,5.5760000000000005,,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,,4.4,6.274509803921569
78,CA,Anaheim,5.573143572984749,18,4.524100000000001,2,4.7622,4,5.43536,5,7.35156862745098,4,5.2121699346405235,3,6.109,2.9392000000000005,2.56,5.558400000000001,5.3544,5.5760000000000005,,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.962,4.4,6.274509803921569
115,CA,Bakersfield,5.570799128540305,18,4.5095,2,4.7622,4,5.43536,5,7.35156862745098,4,5.20783660130719,3,4.819,4.2,2.56,5.558400000000001,5.3544,5.5760000000000005,,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.949,4.4,6.274509803921569
58,CA,Chula Vista,5.6912435729847495,18,5.6585,2,4.7622,4,5.43536,5,7.35156862745098,4,5.164503267973857,3,7.117,4.2,2.56,5.558400000000001,5.3544,5.5760000000000005,,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.819,4.4,6.274509803921569
278,CA,Fontana,5.671854684095861,18,5.6585,2,4.7622,4,5.43536,5,7.35156862745098,4,5.048169934640524,3,7.117,4.2,2.56,5.558400000000001,5.3544,5.5760000000000005,,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.470000000000001,4.4,6.274509803921569
236,CA,Fremont,5.719076906318083,18,5.6585,2,4.7622,4,5.43536,5,7.35156862745098,4,5.331503267973857,3,7.117,4.2,2.56,5.558400000000001,5.3544,5.5760000000000005,,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.32,4.4,6.274509803921569
128,CA,Fresno,5.572299128540305,18,4.57,2,4.7622,4,5.43536,5,7.35156862745098,4,5.176503267973856,3,4.253,4.887,2.56,5.558400000000001,5.3544,5.5760000000000005,,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.8549999999999995,4.4,6.274509803921569
