,State,City,M,n,PSW,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities,M_infogram_socialEquityCitiesRanking,PSW_infogram_socialEquityCitiesRanking,M_nationalEquityAtlas,PSW_nationalEquityAtlas,M_usNews_stateRankingsEquality,PSW_usNews_stateRankingsEquality,M_wallethub_statesRacialEquality,PSW_wallethub_statesRacialEquality,M_wallethub_racialIntegration,PSW_wallethub_racialIntegration,M_wisevoter_mostDiverseStates,PSW_wisevoter_mostDiverseStates,M_bloomberg_blackWomenMetros,PSW_bloomberg_blackWomenMetros,M_georgetown_usaIndex,PSW_georgetown_usaIndex,M_usaNews_statesGenderEquality,PSW_usaNews_statesGenderEquality,M_statusWomen_bestWorstStates,PSW_statusWomen_bestWorstStates,M_iwpr_reproductiveRights,PSW_iwpr_reproductiveRights,M_wallethub_womenEquity,PSW_wallethub_womenEquity,M_hrc_stateEquityIndex,PSW_hrc_stateEquityIndex,M_move_lgbtqFamily,PSW_move_lgbtqFamily,M_map_equaliltyMaps,PSW_map_equaliltyMaps,M_axios_lgbtq_equality,PSW_axios_lgbtq_equality,M_wallethub_citiesDisabilities,PSW_wallethub_citiesDisabilities,M_ncaj_disabilityAccess,PSW_ncaj_disabilityAccess,M_usNews_equalityRankings,PSW_usNews_equalityRankings
282,AR,Fort Smith,4.117070996772734,16,4.318541666666667,7.01464893079643,1,6.569916358722237,4,2.5720514930393836,4,0.42239286143016913,4,4.741224258251457,3,,,24.689506777505304,15.2,5.315475411062681,3.04,5.0704660647841475,3.04,4.479748592379205,3.04,4.789861714422346,3.8,,,0.8658565045778778,3.1666666666666665,1.7394111577613292,2.533333333333333,,,0.4969685527313476,2.533333333333333,3.310211136961637,2.533333333333333,0.6874427131072409,4.75,0.0,3.8,0.6566616961319888,4.75,0.42135063028558317,4.75,5.911007881993055,6.08,1.8363687084047342,3.04,5.6027984062552605,3.04
164,AR,Little Rock,4.462212076839119,16,4.318541666666667,8.343155413369255,1,6.569916358722237,4,2.5720514930393836,4,0.42239286143016913,4,5.041783438120982,3,,,29.365459933398654,15.2,5.315475411062681,3.04,5.0704660647841475,3.04,4.479748592379205,3.04,4.789861714422346,3.8,,,0.8658565045778778,3.1666666666666665,1.7394111577613292,2.533333333333333,,,0.4969685527313476,2.533333333333333,3.310211136961637,2.533333333333333,0.6874427131072409,4.75,0.0,3.8,0.6566616961319888,4.75,0.42135063028558317,4.75,6.75731200716187,6.08,1.8363687084047342,3.04,5.6027984062552605,3.04
3,AS,,1.691542289,1,4.75,,0,,0,,0,1.691542289,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.691542289,4.75,,,,,,,,
4,AZ,,4.370139628152542,15,3.694444444444444,4.989055396531402,1,6.946370247602305,4,5.41144281035154,4,2.080791015003395,4,3.0745341614906843,2,,,10.2631996728646,7.6,1.6793002915451893,3.04,7.429304969741429,3.04,7.4919183673469405,3.04,7.691925465838511,3.8,,,4.522930943595149,3.1666666666666665,4.78122499777758,2.533333333333333,,,0.68343616516374,2.533333333333333,5.782898369345163,2.533333333333333,0.8035714285714286,4.75,1.6793002915451896,3.8,3.0063965888571427,4.75,4.676882078614256,4.75,,,0.3577639751552795,3.04,4.702040816326532,3.04
89,AZ,Chandler,4.413187134208664,17,4.735098039215687,3.824980071291356,2,6.946370247602305,4,5.41144281035154,4,2.080791015003395,4,5.586661302553355,3,13.479688985126845,19.0,8.007610549900912,7.6,1.3102329838308253,3.04,5.796533512976854,3.04,5.845386085197258,3.04,6.001436732459891,3.8,,,3.5289062568045018,3.1666666666666665,3.730433875790269,2.533333333333333,,,0.5332343538846382,2.533333333333333,4.5119650272231455,2.533333333333333,0.6269669551534224,4.75,1.3102329838308255,3.8,2.3456674145948067,4.75,3.649022864903595,4.75,10.399073752935763,6.08,0.27913659220743675,3.04,3.668652354726312,3.04
244,AZ,Gilbert,4.361096735662855,17,4.735098039215687,3.824980071291356,2,6.946370247602305,4,5.41144281035154,4,2.080791015003395,4,5.241833716346459,3,13.479688985126845,19.0,8.007610549900912,7.6,1.3102329838308253,3.04,5.796533512976854,3.04,5.845386085197258,3.04,6.001436732459891,3.8,,,3.5289062568045018,3.1666666666666665,3.730433875790269,2.533333333333333,,,0.5332343538846382,2.533333333333333,4.5119650272231455,2.533333333333333,0.6269669551534224,4.75,1.3102329838308255,3.8,2.3456674145948067,4.75,3.649022864903595,4.75,9.513536977657001,6.08,0.27913659220743675,3.04,3.668652354726312,3.04
257,AZ,Glendale,4.2928160781095634,17,4.735098039215687,3.824980071291356,2,6.946370247602305,4,5.41144281035154,4,2.080791015003395,4,4.789829988480662,3,13.479688985126845,19.0,8.007610549900912,7.6,1.3102329838308253,3.04,5.796533512976854,3.04,5.845386085197258,3.04,6.001436732459891,3.8,,,3.5289062568045018,3.1666666666666665,3.730433875790269,2.533333333333333,,,0.5332343538846382,2.533333333333333,4.5119650272231455,2.533333333333333,0.6269669551534224,4.75,1.3102329838308255,3.8,2.3456674145948067,4.75,3.649022864903595,4.75,8.352765799251051,6.08,0.27913659220743675,3.04,3.668652354726312,3.04
99,AZ,Mesa,4.342315586653409,17,4.735098039215687,3.7638843189735356,2,6.946370247602305,4,5.41144281035154,4,2.080791015003395,4,5.251153380838537,3,13.136476025607383,19.0,8.007610549900912,7.6,1.3102329838308253,3.04,5.796533512976854,3.04,5.845386085197258,3.04,6.001436732459891,3.8,,,3.5289062568045018,3.1666666666666665,3.730433875790269,2.533333333333333,,,0.5332343538846382,2.533333333333333,4.5119650272231455,2.533333333333333,0.6269669551534224,4.75,1.3102329838308255,3.8,2.3456674145948067,4.75,3.649022864903595,4.75,9.537470404015883,6.08,0.27913659220743675,3.04,3.668652354726312,3.04
237,AZ,Peoria,4.376807877582391,17,4.735098039215687,3.7638843189735356,2,6.946370247602305,4,5.41144281035154,4,2.080791015003395,4,5.479485160894456,3,13.136476025607383,19.0,8.007610549900912,7.6,1.3102329838308253,3.04,5.796533512976854,3.04,5.845386085197258,3.04,6.001436732459891,3.8,,,3.5289062568045018,3.1666666666666665,3.730433875790269,2.533333333333333,,,0.5332343538846382,2.533333333333333,4.5119650272231455,2.533333333333333,0.6269669551534224,4.75,1.3102329838308255,3.8,2.3456674145948067,4.75,3.649022864903595,4.75,10.123839349808584,6.08,0.27913659220743675,3.04,3.668652354726312,3.04
87,AZ,Phoenix,5.321098674323981,18,5.316481481481482,5.578479353122937,2,8.056768098284579,5,5.41144281035154,4,2.080791015003395,4,4.710612840297995,3,14.756746969000195,19.0,21.128639736727763,15.2,1.1669525520333874,3.04,5.162654016034744,3.04,5.206164318804954,3.04,5.345150058987714,3.8,14.215751158173392,7.6,3.1430029720548682,3.1666666666666665,3.3224925530552336,2.533333333333333,,,0.47492255024614616,2.533333333333333,4.018559422774599,2.533333333333333,0.5584050297816016,4.75,1.1669525520333877,3.8,2.089157126604897,4.75,3.249984237289853,4.75,7.258162107884827,6.08,0.24861163065059128,3.04,3.267467145693486,3.04
