Rank,City,State,Score,Economy,Quality of Life,Health Care,Comp Score
128,Hialeah,FL,46.22,130,99,99,8.16
129,Atlanta,GA,46.13,148,27,165,8.15
130,Cape Coral,FL,46.12,64,114,143,8.14
131,Fort Worth,TX,46.01,26,144,146,8.12
132,Augusta,GA,45.98,14,129,172,8.12
133,Corpus Christi,TX,45.83,24,149,142,8.09
134,West Valley City,UT,45.81,44,142,137,8.09
135,Wichita,KS,45.73,63,146,110,8.08
136,Little Rock,AR,45.47,59,162,104,8.03
137,Amarillo,TX,45.36,7,155,179,8.01
138,Arlington,TX,45.31,12,169,152,8.00
139,Port St. Lucie,FL,45.3,29,168,140,8.00
140,Grand Prairie,TX,45.23,5,180,144,7.99
141,Richmond,VA,45.19,145,26,178,7.98
142,Houston,TX,45.15,46,140,153,7.97
143,Anchorage,AK,45.14,28,173,122,7.97
144,Detroit,MI,44.99,174,43,128,7.94
145,Casper,WY,44.85,97,158,108,7.92
146,Baton Rouge,LA,44.85,134,75,155,7.92
147,Fontana,CA,44.7,79,152,124,7.89
148,Moreno Valley,CA,44.67,85,150,121,7.89
149,San Bernardino,CA,44.66,117,120,131,7.89
150,Salem,OR,44.57,158,54,156,7.87
151,Knoxville,TN,44.41,128,93,149,7.84
152,Dover,DE,44.35,121,73,171,7.83
153,Tulsa,OK,44.33,62,127,167,7.83
154,Fort Smith,AR,44.18,116,107,154,7.80
155,Aurora,IL,44.1,103,175,84,7.79
156,Garland,TX,44.03,11,179,150,7.78
157,Huntington,WV,43.72,162,60,147,7.72
158,Columbus,GA,43.47,30,138,180,7.68
159,Bridgeport,CT,43.44,180,137,38,7.67
160,Memphis,TN,43.34,93,134,164,7.65
161,Juneau,AK,43.23,48,181,138,7.63
162,Columbia,SC,43.04,154,123,115,7.60
163,North Las Vegas,NV,43.01,56,154,170,7.59
164,Charlotte,NC,43,69,148,168,7.59
165,Pearl City,HI,42.96,49,172,151,7.59
166,Providence,RI,42.95,165,98,132,7.58
167,Nampa,ID,42.92,129,153,126,7.58
168,Fort Wayne,IN,42.87,144,102,162,7.57
169,Burlington,VT,42.81,182,36,92,7.56
170,Huntsville,AL,42.71,35,167,176,7.54
171,Cheyenne,WY,42.32,160,146,102,7.47
172,Birmingham,AL,41.91,139,113,174,7.40
173,Greensboro,NC,41.73,100,159,166,7.37
174,Bismarck,ND,41.65,177,156,74,7.35
175,Fayetteville,NC,41.49,74,165,177,7.33
176,Shreveport,LA,41.44,151,166,112,7.32
177,Jackson,MS,41.2,140,182,75,7.28
178,Montgomery,AL,40.73,66,160,182,7.19
179,Winston-Salem,NC,40.44,119,174,159,7.14
180,Tallahassee,FL,39.97,132,164,173,7.06
181,Mobile,AL,38.24,101,176,181,6.75
182,Gulfport,MS,35.17,178,178,175,6.21
